954752,11/15/2018,AKU-1825161,SUN455,Aušinimo skystis raudonas -35 5kg G12,0.6,vnt.,0.60 vnt.,Klaipedos servisas,6.07
954853,11/14/2018,AKU-1825082,A5410140822,Karterio tarpin? ,1,vnt.,1.00 vnt.,Kauno servisas,38.55
954881,11/15/2018,AKU-1825211,CAAZA0050,Aušinimo skystis -35 žalias 5 kg,0.7,vnt.,0.70 vnt.,Klaipedos servisas,4.9
954887,11/14/2018,AKU-1825111,9026489B,Degiklis su kaitinimo strypu Thermo PRO 50 ECO WEBASTO,2,vnt.,2.00 vnt.,Kauno realizacija,267.12
954928,11/13/2018,AKU-1825022,07-02-03-0062,Rato gaubtas UGR,1,vnt.,1.00 vnt.,Kauno servisas,9.05
954938,11/13/2018,AKU-1825048,076.249-00A,Kondensato išleidimo vožtuvas PE,1,vnt.,1.00 vnt.,Kauno servisas,1.5
954955,11/14/2018,AKU-1825150,L64215,Lemput? H7 24V 70W OSRAM,3,vnt.,3.00 vnt.,Vilniaus servisas,16.88
954989,11/18/2018,AKU-1825408,KL313,Kuro filtras be daviklio MAHLE,1,vnt.,1.00 vnt.,Vilniaus servisas,13.93
954996,11/15/2018,AKU-1825245,N000000002929,Kaištis 4x35 +A0009949645 (naudotas),2,vnt.,2.00 vnt.,Kauno realizacija,0.91
955299,11/14/2018,AKU-1825159,A0019937296,Dirželis 9PK 2871mm AKCIJA,1,vnt.,1.00 vnt.,Kauno servisas,42.83
955319,11/14/2018,AKU-1825126,12440,Jungtis užsilydanti Duraseal raud. BERNER,3,vnt.,3.00 vnt.,Siauliu servisas,1.13
955339,11/14/2018,AKU-1825092,13-05-01-0540,+Žibintas šoninio gabarito su jungtimi. geltonas LED 24V MEGA,1,vnt.,1.00 vnt.,Vilniaus servisas,5.52
955356,11/18/2018,AKU-1825418,LX 3480KIT ,Oro filtras su dang?iu Atego MAHLE,1,vnt.,1.00 vnt.,Vilniaus servisas,53.79
955358,11/18/2018,AKU-1825414,OX123/1D ECO,Alyvos filtras 6061800009 MAHLE,1,vnt.,1.00 vnt.,Vilniaus servisas,5.93
955359,11/14/2018,AKU-1825158,OX161 D ECO,Alyvos filtras MAHLE,1,vnt.,1.00 vnt.,Vilniaus servisas,6.57
955425,11/12/2018,AKU-1824896,A0229979548,Alk?ninio veleno daviklio riebokšlis,1,vnt.,1.00 vnt.,Vilniaus servisas,2.22
955427,11/17/2018,AKU-1825388,A601321035064,Stabilizatoriaus ?vor? šonin? Sprinter <-06m,2,vnt.,2.00 vnt.,Vilniaus servisas,14.55
955432,11/13/2018,AKU-1825017,A0008404985,Užraktas daiktad?ž?s salone MP4,2,vnt.,2.00 vnt.,Klaipedos realizacija,35.02
955452,11/12/2018,AKU-1824975,A9435451704,Jungiklis švies?,1,vnt.,1.00 vnt.,Klaipedos realizacija,59.07
955457,11/15/2018,AKU-1825258,JTE1062,Trauk?s antgalis Sprinter 06-> TRW,1,vnt.,1.00 vnt.,Kauno servisas,14.32
955458,11/18/2018,AKU-1825433,R141.54,Pusašio guolis su stebule k.p./d.p. Sprinter 06m-> SNR,1,vnt.,1.00 vnt.,Klaipedos servisas,155.3
955466,11/16/2018,AKU-1825285,A1402700091,Kamštis,1,vnt.,1.00 vnt.,Kauno realizacija,5.38
955490,11/16/2018,AKU-1825327,833,Varinis žiedas 12x18x1.5 BERNER,6,vnt.,6.00 vnt.,Vilniaus servisas,2.52
955500,11/18/2018,AKU-1825430,22751,Sankabos šakut?s piršto RMK be guoliuk? FEBI,1,vnt.,1.00 vnt.,Vilniaus servisas,21
955532,11/16/2018,AKU-1825346,A9432601509,Pavar? perjungimo svirtis (naudota),1,vnt.,1.00 vnt.,Kauno realizacija,138
955660,11/12/2018,AKU-1824885,131225,Knied? S11FK 4.8x18 AL,4,vnt.,4.00 vnt.,Vilniaus servisas,0.9
955684,11/12/2018,AKU-1824880,A2108800186,MB žvaigžd? AKCIJA,1,vnt.,1.00 vnt.,Vilniaus realizacija,31.54
955853,11/15/2018,AKU-1825214,Z LTT-EPII D,Schmitz žib. galinis 9 sek. trik. liz. gale d.p.. su šon. atšvaitu,1,vnt.,1.00 vnt.,Klaipedos servisas,24.7
955854,11/15/2018,AKU-1825214,J13562663,Jungtis žib. galinio ASS1/ASS2 7pol.,1,vnt.,1.00 vnt.,Klaipedos servisas,10.84
955860,11/15/2018,AKU-1825214,L7510LTS,Lemput? 24V 21W geltona OSRAM,1,vnt.,1.00 vnt.,Klaipedos servisas,1.45
955861,11/15/2018,AKU-1825214,L7511,Lemput? 21W 24V OSRAM,2,vnt.,2.00 vnt.,Klaipedos servisas,1.15
955862,11/15/2018,AKU-1825214,L5627,Lemput? 5W 24V su met. cokoliu OSRAM,3,vnt.,3.00 vnt.,Klaipedos servisas,1.37
955863,11/15/2018,AKU-1825214,336823,Jungtis užsilydanti Duraseal m?l. BERNER,8,vnt.,8.00 vnt.,Klaipedos servisas,4.96
955932,11/18/2018,AKU-1825422,L7511,Lemput? 21W 24V OSRAM,4,vnt.,4.00 vnt.,Klaipedos servisas,2.11
955943,11/15/2018,AKU-1825227,7800006T,Tachografo plombavimo dangtelis SE5000,1,vnt.,1.00 vnt.,Vilniaus servisas,0
956013,11/12/2018,AKU-1824883,A9608308817,Vamzdis a/c  nuo rad. iki kompr. (plonasis),1,vnt.,1.00 vnt.,Vilniaus realizacija,80.46
956025,11/14/2018,AKU-1825082,A5410181416,Variklio alyvos matuokl?s vamzdelis OM501,1,vnt.,1.00 vnt.,Kauno servisas,23.03
956053,11/14/2018,AKU-1825092,2PF961167021,Stogo žibintas HELLA,1,vnt.,1.00 vnt.,Vilniaus servisas,3.02
956058,11/15/2018,AKU-1825248,40167,!Gesintuvas 6 kg MEGA,1,vnt.,1.00 vnt.,Kauno servisas,20.58
956081,11/13/2018,AKU-1825022,9XW 184 107-261,Valytuvo šluotel? 650mm HELLA,2,vnt.,2.00 vnt.,Kauno servisas,12.58
956105,11/18/2018,AKU-1825415,M610947,Žibintas gal. k.p. Actros MARS,1,vnt.,1.00 vnt.,Vilniaus servisas,15.75
956126,11/16/2018,AKU-1825325,L5627,Lemput? 5W 24V su met. cokoliu OSRAM,2,vnt.,2.00 vnt.,Kauno servisas,0.91
956132,11/15/2018,AKU-1825265,NWB 80001,Stabdži? terkšl? automatin? d.p. NWB,1,vnt.,1.00 vnt.,Kauno servisas,56.48
956285,11/15/2018,AKU-1825249,A0019909178,Sujungimas su sankabos oro vamzdeliu (naudotas),1,vnt.,1.00 vnt.,Kauno realizacija,3
956503,11/18/2018,AKU-1825430,22752,Sankabos šakut? FEBI,1,vnt.,1.00 vnt.,Vilniaus servisas,45.88
956523,11/12/2018,AKU-1824896,15167,Stabilizatoriaus ?vor? 48x74-57 FEBI,2,vnt.,2.00 vnt.,Vilniaus servisas,8.81
956594,11/15/2018,AKU-1825261,113820,Dirželis laidams 4.8x282 BERNER,3,vnt.,3.00 vnt.,Vilniaus servisas,0.21
956632,11/16/2018,AKU-1825270,HX15,Vairo stiprintuvo filtras MAHLE,1,vnt.,1.00 vnt.,Klaipedos servisas,4.17
956660,11/12/2018,AKU-1824896,90160,Gabarito lentel? sunkvežimiui aliumin? kompl. BICMA,1,kompl.,1.00 kompl.,Vilniaus servisas,8.14
956675,11/14/2018,AKU-1825126,6800033,!Tachografo spausdinimo juost? kompl. (3 vnt) AKCIJA,1,kompl.,1.00 kompl.,Siauliu servisas,3.41
956681,11/13/2018,AKU-1825059,21544,Stabilizatoriaus ?vor? šonin? 40x70 FEBI,1,vnt.,1.00 vnt.,Vilniaus servisas,5.15
956798,11/18/2018,AKU-1825418,OX161 D ECO,Alyvos filtras MAHLE,1,vnt.,1.00 vnt.,Vilniaus servisas,6.34
956827,11/16/2018,AKU-1825302,15024,S?varža žarnai mini 10x9 BERNER,2,vnt.,2.00 vnt.,Klaipedos servisas,3.34
956889,11/14/2018,AKU-1825124,A0041534328,Daviklis temperat?ros (naudotas)PJM,1,vnt.,1.00 vnt.,Vilniaus servisas,8
956915,11/17/2018,AKU-1825371,01026648B,Diferencialo riebokšlis CORTECO,1,vnt.,1.00 vnt.,Klaipedos servisas,29.38
956963,11/17/2018,AKU-1825371,2.35043,Reduktoriaus vežl? DT,1,vnt.,1.00 vnt.,Klaipedos servisas,19.41
956966,11/18/2018,AKU-1825408,A0004901341,Duslintuvo apkaba ,1,vnt.,1.00 vnt.,Vilniaus servisas,11.14
956967,11/14/2018,AKU-1825158,A0035401581,Jungtis AKCIJA,1,vnt.,1.00 vnt.,Vilniaus servisas,8.3
956972,11/14/2018,AKU-1825154,A93040001259205,Rato gaubtas 3604000325,1,vnt.,1.00 vnt.,Vilniaus servisas,34.77
956989,11/16/2018,AKU-1825325,A0159974845,Riebokšlis kuro/vairo stipr. siurblio 45x3 0219978148,1,vnt.,1.00 vnt.,Kauno servisas,1.48
956998,11/16/2018,AKU-1825286,A2402701700,Vožtuvas,2,vnt.,2.00 vnt.,Kauno realizacija,97.34
957000,11/14/2018,AKU-1825141,A4710109013,Karteris OM471 ,1,vnt.,1.00 vnt.,Siauliu realizacija,1049.98
957028,11/15/2018,AKU-1825265,070.670-00A,Stabdži? kameros kaištis PE,1,vnt.,1.00 vnt.,Kauno servisas,0.81
957041,11/13/2018,AKU-1824997,TSA.84.2,Per?jimas M16->M22 TRUCKTECHNIK,1,vnt.,1.00 vnt.,Kauno servisas,4.77
957093,11/12/2018,AKU-1824965,A0035420219,R?l? 12V/20A maža 5k.,1,vnt.,1.00 vnt.,Klaipedos realizacija,10.42
957248,11/13/2018,AKU-1825011,001PL19619000,Švaistiklinis ind?klas Actros STD 2vnt. MAHLE,2,vnt.,2.00 vnt.,Siauliu realizacija,56.11
957451,11/14/2018,AKU-1825076,13810001,Baterija 1381 tachografui,1,vnt.,1.00 vnt.,Vilniaus servisas,0
957455,11/13/2018,AKU-1825059,21545,Stabilizatoriaus ?vor? 40x50.5-55 FEBI,2,vnt.,2.00 vnt.,Vilniaus servisas,5.8
957464,11/13/2018,AKU-1825059,A0004770103,!Kuro filtro elementas AKCIJA,1,vnt.,1.00 vnt.,Vilniaus servisas,44.5
957471,11/17/2018,AKU-1825397,AL24,Sausintuvo filtras su tepalo atskyr?ju 13 Bar MAHLE,1,vnt.,1.00 vnt.,Vilniaus servisas,32.32
957481,11/18/2018,AKU-1825431,HX15,Vairo stiprintuvo filtras MAHLE,1,vnt.,1.00 vnt.,Siauliu servisas,3.92
957527,11/15/2018,AKU-1825094,A0012956006,Cylindras sankabos pagrindinis,1,vnt.,1.00 vnt.,Konkurs? projektai,102.93
957529,11/15/2018,AKU-1825094,A4373200747,Remontinis komplektas priekinio stabilizatoriaus ?vor?s,27,vnt.,27.00 vnt.,Konkurs? projektai,2845.53
957538,11/15/2018,AKU-1825094,A4258220020,Žibintas. pos?kio. k/p,7,vnt.,7.00 vnt.,Konkurs? projektai,243.21
957548,11/15/2018,AKU-1825094,A0044205224,Stabdži? cilindro remontinis komplektas,4,vnt.,4.00 vnt.,Konkurs? projektai,225.55
957559,11/12/2018,AKU-1824981,A0003262481,Stabilizatoriaus ?vor? pr. vidin? ACTROS,1,vnt.,1.00 vnt.,Klaipedos realizacija,32.83
957569,11/17/2018,AKU-1825399,131-MT10230AL,Priešr?kinis žibintas k.p. MP2/3 TB,1,vnt.,1.00 vnt.,Kauno servisas,19.73
957633,11/15/2018,AKU-1825094,A0015447790,Stikliukas galinio žibinto kair?s pus?s,2,vnt.,2.00 vnt.,Konkurs? projektai,25.74
957635,11/15/2018,AKU-1825094,A0015447890,Stikliukas galinio žibinto dešin?s pus?s,2,vnt.,2.00 vnt.,Konkurs? projektai,25.74
957739,11/15/2018,AKU-1825094,A0024601948,Antgalis kair?s pus?s skersin?s trauk?s,2,vnt.,2.00 vnt.,Konkurs? projektai,114.6
957745,11/15/2018,AKU-1825094,A0025448432,R?l? posuki?,9,vnt.,9.00 vnt.,Konkurs? projektai,322.38
957752,11/15/2018,AKU-1825094,A002017342180,Purkštukas kuro,15,vnt.,15.00 vnt.,Konkurs? projektai,1616.65
957765,11/14/2018,AKU-1825111,1322696A,Ventiliatorius AT2000 ST 24V WEBASTO,1,vnt.,1.00 vnt.,Kauno realizacija,95.18
957773,11/15/2018,AKU-1825228,A9418200441,Valytuv? mechanizmas,1,vnt.,1.00 vnt.,Siauliu realizacija,126.03
957784,11/15/2018,AKU-1825211,A5410151380,Tarpin? alsuoklio,1,vnt.,1.00 vnt.,Klaipedos servisas,27.66
957793,11/15/2018,AKU-1825230,A0019807764,Amortizatorius šoninio spoilerio,2,vnt.,2.00 vnt.,Kauno realizacija,50.45
957816,11/15/2018,AKU-1825264,A9434460523,Valdymo blokas (avarinio jungtukas) ,1,vnt.,1.00 vnt.,Kauno servisas,195.09
957829,11/15/2018,AKU-1825094,A0015452505,Krovimo r?l?,8,vnt.,8.00 vnt.,Konkurs? projektai,572.1
957835,11/15/2018,AKU-1825094,A0018227520,Šoniniai pos?ki? žibintai,2,vnt.,2.00 vnt.,Konkurs? projektai,17.11
957851,11/15/2018,AKU-1825094,A0012502315,Guolis išminimo sankabos,2,vnt.,2.00 vnt.,Konkurs? projektai,71.11
957854,11/15/2018,AKU-1825094,A0024286135,Žarnel? stabži? priekini?,9,vnt.,9.00 vnt.,Konkurs? projektai,189.52
957860,11/15/2018,AKU-1825094,A0019979136,Vožtuvas. blokavimo. diferencialo,2,vnt.,2.00 vnt.,Konkurs? projektai,274.69
957864,11/15/2018,AKU-1825094,A0014315606,Vožtuvas. oro sl?gio. rezervuaro,4,vnt.,4.00 vnt.,Konkurs? projektai,486.78
957868,11/15/2018,AKU-1825094,A0024319805,Vožtuvas stabdži?,1,vnt.,1.00 vnt.,Konkurs? projektai,369.87
957901,11/15/2018,AKU-1825094,A002430993064,Stabdži? stiprintuvas,2,vnt.,2.00 vnt.,Konkurs? projektai,1038.69
957944,11/15/2018,AKU-1825094,A0012958006,Cilindras sankabos pagrindinis,3,vnt.,3.00 vnt.,Konkurs? projektai,748.61
957950,11/15/2018,AKU-1825094,A0012957707,Cilindras. sankabos. darbinis,4,vnt.,4.00 vnt.,Konkurs? projektai,553.69
957953,11/15/2018,AKU-1825094,A6023300235,Antgalis vairo trauk?s d/p,11,vnt.,11.00 vnt.,Konkurs? projektai,796.64
957968,11/15/2018,AKU-1825094,A0013304435,Angalis vairo traukl?s skersin?s dešn?s pus?s,10,vnt.,10.00 vnt.,Konkurs? projektai,532.48
957975,11/15/2018,AKU-1825260,12972XV+/S2,Lemput? H7 12V 55W PHILIPS,1,vnt.,1.00 vnt.,Siauliu realizacija,21.26
958039,11/14/2018,AKU-1825082,TX 18 83D,*Termostatas MAHLE,1,vnt.,1.00 vnt.,Kauno servisas,6.65
958044,11/15/2018,AKU-1825094,A0023301535,Antgalis vairo trauk?s,3,vnt.,3.00 vnt.,Konkurs? projektai,234.12
958055,11/15/2018,AKU-1825094,A0015458909,Jungiklis. atbulin?s pavaros,1,vnt.,1.00 vnt.,Konkurs? projektai,35.29
958061,11/15/2018,AKU-1825094,A0029972636,Vožtuvas vis? rat? blokavimo,4,vnt.,4.00 vnt.,Konkurs? projektai,706.71
958065,11/15/2018,AKU-1825094,A0019974141,Alk?ninio gal riebokšlis,4,vnt.,4.00 vnt.,Konkurs? projektai,56.6
958067,11/15/2018,AKU-1825094,A4603200132,Traukl? stabilizatoriaus,26,vnt.,26.00 vnt.,Konkurs? projektai,1461.16
958075,11/15/2018,AKU-1825094,A4603200244,Guma galin?s spyruokl?s apatin? viršuje,8,vnt.,8.00 vnt.,Konkurs? projektai,257.6
958079,11/15/2018,AKU-1825094,A0028209142,Galinio valytuvo varikliukas,3,vnt.,3.00 vnt.,Konkurs? projektai,582.22
958080,11/15/2018,AKU-1825094,A4613200144,Remontinis komplektas stabilizatoriaus priekinio,5,vnt.,5.00 vnt.,Konkurs? projektai,717.27
958088,11/15/2018,AKU-1825094,A004430280164,Pagrindinis stabdži? cilindras,4,vnt.,4.00 vnt.,Konkurs? projektai,800.44
958104,11/15/2018,AKU-1825094,A0028202356 ,Valstybinio numerio žibintas,2,vnt.,2.00 vnt.,Konkurs? projektai,16.58
958124,11/15/2018,AKU-1825094,A002017342164,Purkštukas kuro,2,vnt.,2.00 vnt.,Konkurs? projektai,332.31
958131,11/15/2018,AKU-1825094,A0005453509,Stabdži? daviklis (varlyt?),1,vnt.,1.00 vnt.,Konkurs? projektai,46.54
958136,11/15/2018,AKU-1825094,A123420652864,Vamzdelis. stabdži? kair? pus? galinio tilto,2,vnt.,2.00 vnt.,Konkurs? projektai,27.45
958138,11/15/2018,AKU-1825094,A123420622864,Vamzdelis. stabdži? kair? pus? galinio tilto,2,vnt.,2.00 vnt.,Konkurs? projektai,50.07
958163,11/15/2018,AKU-1825094,A4374600105,Trauk? vairo skersin?,9,vnt.,9.00 vnt.,Konkurs? projektai,1600.38
958180,11/15/2018,AKU-1825094,A0015445890,Stikliukas lempos galin?s,6,vnt.,6.00 vnt.,Konkurs? projektai,241.79
958192,11/15/2018,AKU-1825094,A4603300111,Traukl? išilgin? priekinio tilto,10,vnt.,10.00 vnt.,Konkurs? projektai,4612.89
958199,11/15/2018,AKU-1825094,A0008106216,Veidrodis galinio vaizdo išorinis su r?mu,2,vnt.,2.00 vnt.,Konkurs? projektai,80.94
958201,11/15/2018,AKU-1825094,A0023151899,Sukabinimo ?taisas priekabos,2,vnt.,2.00 vnt.,Konkurs? projektai,1231.98
958340,11/15/2018,AKU-1825253,A0002540335,Sankabos šakut?s ?vor?,1,vnt.,1.00 vnt.,Kauno servisas,6.76
958469,11/13/2018,AKU-1825061,10-01-02-0848,#NAME?,1,vnt.,1.00 vnt.,Klaipedos realizacija,60.9
958471,11/15/2018,AKU-1825211,001PL19619000,Švaistiklinis ind?klas Actros STD 2vnt. MAHLE,4,vnt.,4.00 vnt.,Klaipedos servisas,129.27
958474,11/15/2018,AKU-1825161,GDB5073,Trinkel?s stabdži? TRW,1,vnt.,1.00 vnt.,Klaipedos servisas,63.43
958500,11/16/2018,AKU-1825304,2.52071E+11,+Ventiliatorius AIRTR.D2 24V EBERSPACHER,1,vnt.,1.00 vnt.,Siauliu realizacija,81.16
958908,11/15/2018,AKU-1825214,RE289648,Purkštuko remontas,6,vnt.,6.00 vnt.,Klaipedos servisas,354.55
958948,11/12/2018,AKU-1824943,ZAL24,Kuro sistemos remontas,2,val.,2.00 val.,Kauno servisas,60
958989,11/13/2018,AKU-1825039,A0007200079,Stiklo pak?l?jas k.p.MP2 (naudotas),1,vnt.,1.00 vnt.,Vilniaus realizacija,100
958999,11/16/2018,AKU-1825360,A0003262481,Stabilizatoriaus ?vor? pr. vidin? ACTROS,1,vnt.,1.00 vnt.,Klaipedos realizacija,32.83
959092,11/12/2018,AKU-1824949,7079586,Stabilizatoriaus ?vor? ,2,vnt.,2.00 vnt.,Kauno servisas,13.21
959094,11/12/2018,AKU-1824943,4329012452,Oro sausintuvo filtras,1,vnt.,1.00 vnt.,Kauno servisas,37.4
959146,11/13/2018,AKU-1825027,A5411800209,!+Alyvos filtras ACTROS AKCIJA,1,vnt.,1.00 vnt.,Vilniaus servisas,16.9
959161,11/18/2018,AKU-1825431,LA 43 ,Salono filtras spec. tech. MAHLE,1,vnt.,1.00 vnt.,Siauliu servisas,17.42
959206,11/16/2018,AKU-1825303,36061299,Išmetimo vamzdis 24x3 EBERSPACHER 0.70m,0.7,m.,0.70 m.,Vilniaus servisas,7.56
959249,11/14/2018,AKU-1825072,A5410181416,Variklio alyvos matuokl?s vamzdelis OM501,1,vnt.,1.00 vnt.,Kauno servisas,26.1
959252,11/15/2018,AKU-1825184,A6119970481,Tarpiklis,1,vnt.,1.00 vnt.,Kauno realizacija,2.01
959261,11/15/2018,AKU-1825161,A9605001816,Oro reguliavimo sistema. apatin? MP4,1,vnt.,1.00 vnt.,Klaipedos servisas,143.61
959283,11/15/2018,AKU-1825161,147707,Vario tepalas. aeroz. 400ml. BERNER,1,vnt.,1.00 vnt.,Klaipedos servisas,8.76
959305,11/17/2018,AKU-1825371,207445,R?dži? tirpiklis MoS2 400ml. BERNER,0.7,vnt.,0.70 vnt.,Klaipedos servisas,2.12
959306,11/17/2018,AKU-1825371,147707,Vario tepalas. aeroz. 400ml. BERNER,0.5,vnt.,0.50 vnt.,Klaipedos servisas,4.38
959329,11/13/2018,AKU-1825035,9028635A,*Siurblys cirkuliacinis U4847 Axial 24V Thermo PRO 50 ECO WEBASTO,1,vnt.,1.00 vnt.,Vilniaus servisas,194.53
959494,11/12/2018,AKU-1824840,TE10W40MOBILPS,Alyva pusiau sintetin? Delvac MX EXTRA 10W40 MOBIL,12.5,l.,12.50 l.,Siauliu servisas,38.63
959508,11/14/2018,AKU-1825087,A4719935896,+Diržas 8PK2631 MP4 AKCIJA,1,vnt.,1.00 vnt.,Vilniaus realizacija,58.91
959564,11/14/2018,AKU-1825120,720469,EPS daviklio jungtis 4 kont. 90*?,1,vnt.,1.00 vnt.,Klaipedos servisas,4.08
959646,11/13/2018,AKU-1824988,500122,Greita oro jungtis met/pl. 12mm SISTEM PNEUMATICA,1,vnt.,1.00 vnt.,Kauno servisas,3.8
959712,11/14/2018,AKU-1825150,L64215,Lemput? H7 24V 70W OSRAM,1,vnt.,1.00 vnt.,Vilniaus servisas,5.63
959720,11/13/2018,AKU-1825016,2.52069E+12,Žvak?s tinkliukas AIRTR. EBERSPACHER,1,vnt.,1.00 vnt.,Siauliu realizacija,4.36
959722,11/18/2018,AKU-1825423,4329012232,Oro sausintuvo filtras su tepalo atskyr?ju WABCO,1,vnt.,1.00 vnt.,Siauliu servisas,37.79
959725,11/18/2018,AKU-1825423,KX191/1D,Filtras kuro MAHLE,1,vnt.,1.00 vnt.,Siauliu servisas,16.61
959726,11/18/2018,AKU-1825431,KX72D2,*Grubaus valymo kuro filtras MAHLE + DE126675,1,vnt.,1.00 vnt.,Siauliu servisas,3.38
959738,11/16/2018,AKU-1825360,N000000005740,Veržl? M20x1.5,1,vnt.,1.00 vnt.,Klaipedos realizacija,1.84
959809,11/13/2018,AKU-1825022,N000000005915,Veržl? M24x1.5 siaura,1,vnt.,1.00 vnt.,Kauno servisas,1.08
959859,11/13/2018,AKU-1824997,076.244-00A,Sandarinimo žiedas su poveržle 16mm PE,1,vnt.,1.00 vnt.,Kauno servisas,0.57
959861,11/17/2018,AKU-1825384,076.817-00A,+Energoakumuliatorius 20/24 PE,1,vnt.,1.00 vnt.,Vilniaus servisas,82.14
959864,11/12/2018,AKU-1824968,13506,Stabdži? suporto dangtelis su nusid?v?jimo davikliu TTT,1,vnt.,1.00 vnt.,Kauno servisas,29.99
959865,11/17/2018,AKU-1825403,13507,Stabdži? suporto sraigtas TTT,1,vnt.,1.00 vnt.,Kauno servisas,5.67
959867,11/18/2018,AKU-1825415,4329012232,Oro sausintuvo filtras su tepalo atskyr?ju WABCO,1,vnt.,1.00 vnt.,Vilniaus servisas,28.76
959871,11/12/2018,AKU-1824927,L5627,Lemput? 5W 24V su met. cokoliu OSRAM,8,vnt.,8.00 vnt.,Klaipedos realizacija,3.43
959918,11/14/2018,AKU-1825099,A1668841000,Dangtelis,1,vnt.,1.00 vnt.,Kauno realizacija,10.01
959967,11/14/2018,AKU-1825151,A9608200556,Priešr?kinis žibintas d.p. apvalus MP4 (naudotas),1,vnt.,1.00 vnt.,Kauno servisas,40
960109,11/14/2018,AKU-1825126,90112016,Sujungimas 16x1.5 12mm RAUFOSS,2,vnt.,2.00 vnt.,Siauliu servisas,5.42
960225,11/15/2018,AKU-1825255,316 704,Kabinos amortizatorius pr. MP4 SACHS,1,vnt.,1.00 vnt.,Vilniaus servisas,99.41
960229,11/12/2018,AKU-1824911,7950994,Tachografo diskeliai 125 km/h universal?s,3,vnt.,3.00 vnt.,Vilniaus servisas,15.23
960232,11/16/2018,AKU-1825337,A0009902907,Purkštuko varžtas M6x79,3,vnt.,3.00 vnt.,Vilniaus servisas,4.01
960240,11/14/2018,AKU-1825126,720469,EPS daviklio jungtis 4 kont. 90*?,2,vnt.,2.00 vnt.,Siauliu servisas,9.42
960290,11/15/2018,AKU-1825214,A9060170524,Purkštuko vamzdelis ADATA (naudotas)PJM,1,vnt.,1.00 vnt.,Klaipedos servisas,20
960398,11/12/2018,AKU-1824949,ZRE310472,Stabilizatoriaus ?vori? keitimas,2.2,val.,2.20 val.,Kauno servisas,66
960399,11/12/2018,AKU-1824943,2316566,Kuro siurblio remontas,1,vnt.,1.00 vnt.,Kauno servisas,257.06
960400,11/12/2018,AKU-1824949,2070811,Perjung?jas,1,vnt.,1.00 vnt.,Kauno servisas,31.64
960402,11/12/2018,AKU-1824949,HP1000888,Atbulin?s eigos jungiklis ,1,vnt.,1.00 vnt.,Kauno servisas,9.59
960404,11/12/2018,AKU-1824949,02.06.20.0200,Stabdži? antd?kl? kompl. ratui,2,vnt.,2.00 vnt.,Kauno servisas,72.2
960406,11/12/2018,AKU-1824949,ZREST960406,Stabdži? antd?kl? keitimas,1.7,val.,1.70 val.,Kauno servisas,51
960407,11/12/2018,AKU-1824949,00-1210-000,Stabdži? kamera MAZ,2,vnt.,2.00 vnt.,Kauno servisas,69.6
960408,11/12/2018,AKU-1824949,73082066,Galinio stabilizatoriaus ?vor?s MAZ,4,vnt.,4.00 vnt.,Kauno servisas,17.49
960409,11/12/2018,AKU-1824949,KF-152/1,Filtras oro MAZ,1,vnt.,1.00 vnt.,Kauno servisas,17.26
960410,11/12/2018,AKU-1824949,16920399,Kniedži? komplektas,1,vnt.,1.00 vnt.,Kauno servisas,11.11
960411,11/12/2018,AKU-1824943,13033366,Jungtis,1,vnt.,1.00 vnt.,Kauno servisas,4.89
960422,11/16/2018,AKU-1825337,A1201420072,Veržl? M8,8,vnt.,8.00 vnt.,Vilniaus servisas,11.69
960426,11/18/2018,AKU-1825414,AL24,Sausintuvo filtras su tepalo atskyr?ju 13 Bar MAHLE,1,vnt.,1.00 vnt.,Vilniaus servisas,26.93
960429,11/17/2018,AKU-1825397,KX72D2,*Grubaus valymo kuro filtras MAHLE + DE126675,1,vnt.,1.00 vnt.,Vilniaus servisas,3.8
960436,11/15/2018,AKU-1825214,L7510LTS,Lemput? 24V 21W geltona OSRAM,1,vnt.,1.00 vnt.,Klaipedos servisas,1.45
960475,11/14/2018,AKU-1825072,SUN455,Aušinimo skystis raudonas -35 5kg G12,1,vnt.,1.00 vnt.,Kauno servisas,10.12
960486,11/14/2018,AKU-1825160,35525,Ling?s apkaba Actros FEBI ,1,vnt.,1.00 vnt.,Klaipedos realizacija,9.89
960529,11/14/2018,AKU-1825111,1322696A,Ventiliatorius AT2000 ST 24V WEBASTO,1,vnt.,1.00 vnt.,Kauno realizacija,95.18
960535,11/14/2018,AKU-1825115,35331,Daviklis ABS 2000mm FEBI,1,vnt.,1.00 vnt.,Siauliu servisas,25.07
960540,11/14/2018,AKU-1825097,A0259975047,Riebokšlis variklio U 904 115x140x12 AKCIJA,1,vnt.,1.00 vnt.,Siauliu realizacija,41.44
960542,11/18/2018,AKU-1825431,KTDET1,Antgalis,2,vnt.,2.00 vnt.,Siauliu servisas,3.8
960550,11/12/2018,AKU-1824909,45595,Filtras Ad Blue FEBI,1,vnt.,1.00 vnt.,Klaipedos servisas,13.15
960551,11/18/2018,AKU-1825422,723051,Žibintas diodinis numerio apšv. did. 24V,1,vnt.,1.00 vnt.,Klaipedos servisas,8.99
960558,11/17/2018,AKU-1825393,A9060170524,Purkštuko vamzdelis ADATA (naudotas)PJM,1,vnt.,1.00 vnt.,Klaipedos servisas,19
960560,11/12/2018,AKU-1824915,02-07-02-0137,Pakaitinimo žvak? BERU,4,vnt.,4.00 vnt.,Vilniaus servisas,48.56
